,Ac_Name,Date_Birth,BPlace,Img,Active_Year,info,WikiLink
0,Lee Je Hoon,1984,"Jongno-gu, Seoul, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/a/a9/181103_%EC%9D%B4%EC%A0%9C%ED%9B%88_%EA%B0%80%EC%82%B0_%EB%A7%88%EB%A6%AC%EC%98%A4_%EC%95%84%EC%9A%B8%EB%A0%9B_%ED%8C%AC%EC%8B%B8%EC%9D%B8%ED%9A%8C_03.jpg/220px-181103_%EC%9D%B4%EC%A0%9C%ED%9B%88_%EA%B0%80%EC%82%B0_%EB%A7%88%EB%A6%AC%EC%98%A4_%EC%95%84%EC%9A%B8%EB%A0%9B_%ED%8C%AC%EC%8B%B8%EC%9D%B8%ED%9A%8C_03.jpg,Company on,"[' (1984-07-04) July 4, 1984 (age\xa038)Jongno-gu, Seoul, South Korea', 'Korea National University of Arts - School of Drama', 'Actor, director, screenwriter', '2007–present', 'Company on', '이제훈', '李帝勳', 'I Jehun', 'I Chehun']",https://en.wikipedia.org/wiki/Lee_Je-hoon
1,Jo Jung Suk,1980,"Seoul, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/c/cb/181119_%EC%A1%B0%EC%A0%95%EC%84%9D.png/230px-181119_%EC%A1%B0%EC%A0%95%EC%84%9D.png,2004–present,"[' (1980-12-26) December 26, 1980 (age\xa041)Seoul, South Korea', 'Cho Jung-seok', 'Seoul Institute of the Arts – Theater', 'Actor', '2004–present', 'Culture DepotJS Company[1]JAM Entertainment[2]', 'Gummy \u200b(m.\xa02018)\u200b', '1', '조정석', '曺政奭', 'Jo Jeong-seok', 'Cho Chŏngsŏk']",https://en.wikipedia.org/wiki/Jo_Jung-suk
2,Lee Joon Gi,1982,"Busan, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/7/74/%E6%9D%8E%E6%BA%96%E5%9F%BA.jpg/220px-%E6%9D%8E%E6%BA%96%E5%9F%BA.jpg,Namoo Actors[1],"[' (1982-04-17) 17 April 1982 (age\xa040)Busan, South Korea', 'Seoul Arts College', 'Actor, singer, dancer, model', '2001–present', 'Namoo Actors[1]', '이준기', '李準基', 'I Jun-gi', 'Yi Chungi', 'www.leejoongi.co.kr']",https://en.wikipedia.org/wiki/Lee_Joon-gi
3,Lee Sun Kyun,1975,"Seoul, South Korea[1]",//upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Lee_Seon-gun_in_Oct_2018.png/220px-Lee_Seon-gun_in_Oct_2018.png,Hodoo Entertainment,"[' (1975-03-02) March 2, 1975 (age\xa047)Seoul, South Korea[1]', 'Korea National University of Arts - BFA in Acting[2]', 'Actor', '2001–present', 'Hodoo Entertainment', 'Jeon Hye-jin \u200b(m.\xa02009)\u200b', '2', '이선균', 'I Seon-gyun', 'I Sŏnkyun']",https://en.wikipedia.org/wiki/Lee_Sun-kyun
4,Park Hae Soo,1981,"Suwon, Gyeonggi, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/2/2e/20220719_Park_Hae-soo_%28%EB%B0%95%ED%95%B4%EC%88%98%29_1st_Blue_Dragon_Series_Awards.jpg/220px-20220719_Park_Hae-soo_%28%EB%B0%95%ED%95%B4%EC%88%98%29_1st_Blue_Dragon_Series_Awards.jpg,BH Entertainment[1][2] United Talent Agency[3],"[' (1981-11-21) November 21, 1981 (age\xa040)Suwon, Gyeonggi, South Korea', 'Dankook University', 'Actor', '2007–present', 'BH Entertainment[1][2] United Talent Agency[3]', '1', '박해수', '朴海秀', 'Bak Hae-su', 'Pak Haesu']",https://en.wikipedia.org/wiki/Park_Hae-soo
5,Lee Hye Ri,1994,"Gwangju, Gyeonggi, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Lee_Hye-ri_at_the_2022_Blue_Dragon_Series_Awards.jpg/220px-Lee_Hye-ri_at_the_2022_Blue_Dragon_Series_Awards.jpg,Full list,"[' (1994-06-09) June 9, 1994 (age\xa028)Gwangju, Gyeonggi, South Korea', 'Konkuk University', 'Singeractress', 'Creative Group ING', 'Full list', 'K-pop', 'Vocals', '2010–present', 'Dream T', ""Girl's Day"", '이혜리', '李惠利[1]', 'I Hye-ri', 'I Hyeri']",https://en.wikipedia.org/wiki/Lee_Hye-ri
6,Kim Soo Hyun,1988,"Seoul, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Kim_Soo-hyun_in_June_2020.jpg/220px-Kim_Soo-hyun_in_June_2020.jpg,Goldmedalist,"[' (1988-02-16) February 16, 1988 (age\xa034)Seoul, South Korea', 'Chung-Ang University', 'Actor', '2007–present', 'Goldmedalist', 'Full list', '김수현', '金秀賢', 'Kim Su-hyeon', 'Kim Suhyŏn', 'soo-hyun.com']",https://en.wikipedia.org/wiki/Kim_Soo-hyun
7,Shin Hye Sun,1989,"Seoul, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/0/01/190521_%EC%8B%A0%ED%98%9C%EC%84%A0.jpg/220px-190521_%EC%8B%A0%ED%98%9C%EC%84%A0.jpg,2012–present,"[' (1989-08-31) 31 August 1989 (age\xa033)Seoul, South Korea', 'Shin Hae-sun', 'Sejong University - Film Art', 'Actress', '2012–present', 'YNK Entertainment', '신혜선', '申惠善', 'Sin Hye-seon', 'Sin Hyesŏn']",https://en.wikipedia.org/wiki/Shin_Hye-sun
8,Lee Bo Young,1979,"Seoul, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Lee_Bo-young_2017.jpg/220px-Lee_Bo-young_2017.jpg,J-Wide Company[2],"[' (1979-01-12) January 12, 1979 (age\xa043)Seoul, South Korea', ""Seoul Women's University (B.A. in Korean Literature)[1]"", 'Actress', '2002–present', 'J-Wide Company[2]', 'Ji Sung \u200b(m.\xa02013)\u200b', '2', '이보영', 'I Bo-yeong', 'I Poyŏng']",https://en.wikipedia.org/wiki/Lee_Bo-young
9,Park In Hwan,1987,"Cheongju, North Chungcheong Province, South Korea",//upload.wikimedia.org/wikipedia/en/thumb/5/5f/Disambig_gray.svg/30px-Disambig_gray.svg.png,,[],https://en.wikipedia.org/wiki/Park_In-hwan
