genre_id,movie_genres
0,Life
1,Drama
2,Family
3,Friendship
4,Romance
0,Life
5,Medical
6,Thriller
4,Romance
7,Crime
8,Melodrama
3,Friendship
4,Romance
0,Life
5,Medical
9,Psychological
0,Life
1,Drama
2,Family
10,Comedy
7,Crime
0,Life
1,Drama
10,Comedy
4,Romance
11,Youth
2,Family
9,Psychological
10,Comedy
4,Romance
1,Drama
12,Historical
13,Mystery
10,Comedy
4,Romance
6,Thriller
13,Mystery
9,Psychological
8,Melodrama
6,Thriller
13,Mystery
14,Sci-Fi
3,Friendship
0,Life
1,Drama
2,Family
15,Action
6,Thriller
1,Drama
16,Fantasy
10,Comedy
17,Law
7,Crime
1,Drama
18,Military
10,Comedy
4,Romance
19,Political
13,Mystery
9,Psychological
1,Drama
2,Family
6,Thriller
12,Historical
20,Horror
21,Supernatural
18,Military
12,Historical
4,Romance
8,Melodrama
15,Action
6,Thriller
13,Mystery
4,Romance
6,Thriller
13,Mystery
17,Law
1,Drama
10,Comedy
4,Romance
16,Fantasy
8,Melodrama
10,Comedy
4,Romance
0,Life
15,Action
13,Mystery
1,Drama
21,Supernatural
15,Action
18,Military
10,Comedy
1,Drama
6,Thriller
12,Historical
20,Horror
19,Political
6,Thriller
13,Mystery
1,Drama
2,Family
10,Comedy
4,Romance
11,Youth
22,Sports
13,Mystery
17,Law
7,Crime
1,Drama
15,Action
13,Mystery
10,Comedy
21,Supernatural
6,Thriller
13,Mystery
1,Drama
2,Family
6,Thriller
13,Mystery
9,Psychological
1,Drama
15,Action
6,Thriller
13,Mystery
1,Drama
15,Action
12,Historical
1,Drama
19,Political
6,Thriller
13,Mystery
20,Horror
21,Supernatural
3,Friendship
10,Comedy
11,Youth
22,Sports
12,Historical
4,Romance
1,Drama
8,Melodrama
6,Thriller
13,Mystery
14,Sci-Fi
20,Horror
1,Drama
14,Sci-Fi
21,Supernatural
4,Romance
0,Life
1,Drama
16,Fantasy
10,Comedy
4,Romance
21,Supernatural
19,Political
6,Thriller
13,Mystery
17,Law
1,Drama
13,Mystery
4,Romance
1,Drama
16,Fantasy
0,Life
1,Drama
2,Family
8,Melodrama
4,Romance
1,Drama
5,Medical
8,Melodrama
9,Psychological
10,Comedy
4,Romance
1,Drama
12,Historical
4,Romance
16,Fantasy
19,Political
3,Friendship
23,Business
0,Life
1,Drama
12,Historical
4,Romance
16,Fantasy
19,Political
15,Action
6,Thriller
7,Crime
20,Horror
10,Comedy
4,Romance
16,Fantasy
4,Romance
1,Drama
5,Medical
15,Action
13,Mystery
10,Comedy
7,Crime
12,Historical
4,Romance
8,Melodrama
15,Action
10,Comedy
4,Romance
8,Melodrama
1,Drama
22,Sports
8,Melodrama
15,Action
6,Thriller
10,Comedy
4,Romance
1,Drama
21,Supernatural
13,Mystery
17,Law
7,Crime
1,Drama
3,Friendship
10,Comedy
4,Romance
7,Crime
6,Thriller
13,Mystery
14,Sci-Fi
16,Fantasy
6,Thriller
20,Horror
9,Psychological
1,Drama
9,Psychological
10,Comedy
4,Romance
1,Drama
10,Comedy
0,Life
11,Youth
1,Drama
15,Action
12,Historical
4,Romance
19,Political
13,Mystery
17,Law
1,Drama
5,Medical
24,Food
12,Historical
4,Romance
5,Medical
10,Comedy
4,Romance
1,Drama
2,Family
6,Thriller
13,Mystery
9,Psychological
7,Crime
1,Drama
10,Comedy
4,Romance
0,Life
25,School
1,Drama
2,Family
21,Supernatural
23,Business
10,Comedy
7,Crime
1,Drama
6,Thriller
13,Mystery
17,Law
1,Drama
10,Comedy
4,Romance
1,Drama
21,Supernatural
12,Historical
4,Romance
8,Melodrama
19,Political
3,Friendship
4,Romance
0,Life
11,Youth
13,Mystery
10,Comedy
2,Family
16,Fantasy
15,Action
6,Thriller
4,Romance
7,Crime
6,Thriller
13,Mystery
1,Drama
16,Fantasy
6,Thriller
13,Mystery
1,Drama
19,Political
9,Psychological
4,Romance
8,Melodrama
15,Action
6,Thriller
13,Mystery
1,Drama
3,Friendship
10,Comedy
0,Life
1,Drama
20,Horror
10,Comedy
4,Romance
21,Supernatural
10,Comedy
4,Romance
1,Drama
2,Family
15,Action
6,Thriller
13,Mystery
1,Drama
15,Action
6,Thriller
9,Psychological
7,Crime
6,Thriller
13,Mystery
21,Supernatural
15,Action
6,Thriller
12,Historical
4,Romance
6,Thriller
13,Mystery
1,Drama
8,Melodrama
13,Mystery
17,Law
4,Romance
21,Supernatural
10,Comedy
4,Romance
0,Life
2,Family
15,Action
6,Thriller
1,Drama
14,Sci-Fi
10,Comedy
4,Romance
1,Drama
9,Psychological
10,Comedy
4,Romance
1,Drama
12,Historical
4,Romance
16,Fantasy
19,Political
0,Life
25,School
2,Family
8,Melodrama
3,Friendship
23,Business
10,Comedy
4,Romance
15,Action
6,Thriller
13,Mystery
7,Crime
13,Mystery
4,Romance
0,Life
5,Medical
6,Thriller
10,Comedy
4,Romance
1,Drama
2,Family
10,Comedy
4,Romance
0,Life
1,Drama
23,Business
10,Comedy
4,Romance
22,Sports
