mov_id,genre_id
0,0
0,1
0,2
1,3
1,4
1,5
1,6
2,7
2,4
2,8
2,9
3,3
3,4
3,5
3,6
4,10
4,5
4,1
4,2
5,11
5,8
5,5
5,12
6,11
6,4
6,13
6,2
7,10
7,14
7,4
7,12
8,15
8,16
8,14
8,17
9,7
9,16
9,18
9,9
10,7
10,16
10,19
11,3
11,5
11,1
11,2
12,20
12,21
12,1
12,22
13,11
13,23
13,8
13,12
14,24
14,14
14,4
14,25
15,26
15,18
15,1
15,2
16,7
16,27
16,28
16,29
17,24
17,27
17,4
17,9
18,20
18,21
18,16
18,17
19,7
19,16
19,23
19,12
20,11
20,4
20,30
20,9
21,11
21,4
21,31
22,20
22,16
22,1
22,29
23,20
23,32
23,14
23,12
24,7
24,27
24,28
24,25
25,7
25,16
25,1
25,2
26,11
26,4
26,13
26,33
27,26
27,23
27,8
27,12
28,20
28,16
28,14
28,29
29,7
29,16
29,1
29,2
30,7
30,16
30,18
30,12
31,20
31,21
31,16
31,12
32,20
32,27
32,1
32,25
33,7
33,16
33,28
33,29
34,3
34,14
34,13
34,33
35,15
35,4
35,1
35,9
36,7
36,16
36,19
37,34
37,1
37,35
37,29
38,36
38,5
38,1
38,22
39,11
39,4
39,37
39,25
40,7
40,16
40,23
40,12
41,26
41,4
41,1
41,22
42,0
42,1
42,38
42,9
43,36
43,1
43,39
43,9
44,10
44,14
44,4
44,12
45,15
45,4
45,30
45,25
46,3
46,40
46,5
46,12
47,15
47,4
47,30
47,25
48,20
48,21
48,41
49,34
49,14
49,4
49,22
50,36
50,1
50,6
51,20
51,16
51,14
51,41
52,15
52,4
52,9
53,20
53,14
53,4
53,9
54,42
54,43
54,9
55,20
55,21
55,14
55,4
55,1
55,29
56,26
56,23
56,8
56,12
57,3
57,14
57,4
57,41
58,7
58,16
58,35
58,22
59,7
59,28
59,18
59,12
60,10
60,14
60,4
60,12
61,11
61,5
61,13
61,12
62,20
62,27
62,4
62,25
63,26
63,23
63,1
63,6
64,44
64,27
64,4
64,6
65,11
65,4
65,1
65,2
66,7
66,16
66,18
66,8
66,12
67,11
67,4
67,5
67,45
67,1
67,38
67,29
68,46
68,14
68,8
68,12
69,7
69,16
69,23
69,12
70,11
70,4
70,1
70,29
71,15
71,4
71,47
71,25
72,3
72,4
72,5
72,48
73,26
73,14
73,38
73,22
74,20
74,21
74,4
74,41
75,7
75,16
75,1
75,22
76,7
76,16
76,1
76,25
77,10
77,4
77,9
78,20
78,21
78,16
78,12
79,3
79,14
79,5
79,12
80,34
80,14
80,4
80,29
81,11
81,4
81,1
81,2
82,20
82,21
82,16
82,12
83,20
83,21
83,18
83,41
84,7
84,16
84,29
85,20
85,21
85,27
85,17
86,7
86,16
86,1
86,9
87,26
87,23
87,4
87,29
88,11
88,4
88,5
88,2
89,20
89,21
89,1
89,19
90,11
90,4
90,12
91,10
91,14
91,4
91,12
92,15
92,4
92,30
92,25
93,0
93,45
93,38
93,9
94,3
94,40
94,14
94,17
95,20
95,21
95,16
95,41
96,26
96,4
96,5
96,6
97,7
97,14
97,4
97,1
97,2
98,11
98,4
98,5
98,12
99,46
99,14
99,4
99,33
