mov_id,movie_title,movie_year,dra_time,Cast,Genre,drama_url
1,Move to Heaven,2021,52 min.,"Lee Je Hoon, Tang Jun Sang, Hong Seung Hee, Jung Suk Yong, Jung Young Joo, Lee Moon Shik","Life,  Drama,  Family ","https://m.media-amazon.com/images/M/MV5BYjNhMDM4YWYtYWE1MS00NTQzLWE4OTctNWU5ZjA5OWYxZWRjXkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_SY150_CR0,0,101,150_.jpg"
2,Hospital Playlist,2020,1 hr. 30 min.,"Jo Jung Suk, Yoo Yeon Seok, Jung Kyung Ho, Kim Dae Myung, Jeon Mi Do, Shin Hyun Bin","Friendship,  Romance,  Life,  Medical ","https://m.media-amazon.com/images/M/MV5BN2I0OTAwNWYtODk2NC00MjRkLWJkZDAtMmJmYmZjNWRiYmZhXkEyXkFqcGdeQXVyNDY5MjMyNTg@._V1_SY150_CR2,0,101,150_.jpg"
3,Flower of Evil,2020,1 hr. 10 min.,"Lee Joon Gi, Moon Chae Won, Jang Hee Jin, Seo Hyun Woo, Nam Ki Ae, Son Jong Hak","Thriller,  Romance,  Crime,  Melodrama ","https://m.media-amazon.com/images/M/MV5BODNmNzhlYzItYjJjMC00YTUyLWJhMTQtZWRmY2JhM2RiNTljXkEyXkFqcGdeQXVyMTAwMzM3NDI3._V1_SY150_CR2,0,101,150_.jpg"
4,Hospital Playlist 2,2021,1 hr. 40 min.,"Jo Jung Suk, Yoo Yeon Seok, Jung Kyung Ho, Kim Dae Myung, Jeon Mi Do, Shin Hyun Bin","Friendship,  Romance,  Life,  Medical ","https://m.media-amazon.com/images/M/MV5BN2I0OTAwNWYtODk2NC00MjRkLWJkZDAtMmJmYmZjNWRiYmZhXkEyXkFqcGdeQXVyNDY5MjMyNTg@._V1_SY150_CR2,0,101,150_.jpg"
5,My Mister,2018,1 hr. 17 min.,"Lee Sun Kyun, IU, Park Ho San, Song Sae Byuk, Lee Ji Ah, Kim Young Min","Psychological,  Life,  Drama,  Family ","https://m.media-amazon.com/images/M/MV5BYTc2ZWRkYTQtZmQyYS00ZTM3LWFiY2YtOWE1MjhlNTlhNzkwXkEyXkFqcGdeQXVyMjUxMTY3ODM@._V1_SY150_CR1,0,101,150_.jpg"
6,Prison Playbook,2017,1 hr. 32 min.,"Park Hae Soo, Jung Kyung Ho, Krystal Jung, Im Hwa Young, Ye Soo Jung, Kim Kyung Nam","Comedy,  Crime,  Life,  Drama ","https://m.media-amazon.com/images/M/MV5BMTQzMzYwNzEtY2U1Zi00MTA1LWJhZTctZjE2NjMzYjlmNmQwXkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_SY150_CR2,0,101,150_.jpg"
7,Reply 1988,2015,1 hr. 40 min.,"Lee Hye Ri, Go Kyung Pyo, Ryu Joon Yeol, Park Bo Gum, Lee Dong Hwi, Sung Dong Il","Comedy,  Romance,  Youth,  Family ","https://m.media-amazon.com/images/M/MV5BNDYwODdiOTItZTExZC00ZDZjLTkyODMtMWYxODVlMjQ0YjQxXkEyXkFqcGdeQXVyNjExNTE4MzU@._V1_SY150_CR2,0,101,150_.jpg"
8,It's Okay to Not Be Okay,2020,1 hr. 15 min.,"Kim Soo Hyun, Seo Yea Ji, Oh Jung Se, Park Gyu Young, Jang Young Nam, Kim Chang Wan","Psychological,  Comedy,  Romance,  Drama ","https://m.media-amazon.com/images/M/MV5BYTk0Nzk5ZWYtYTNlZi00YjBjLWJhYjctMWMwMmYyMDA5ZjJmXkEyXkFqcGdeQXVyNDY5MjMyNTg@._V1_SY150_CR2,0,101,150_.jpg"
9,Mr. Queen,2020,1 hr. 20 min.,"Shin Hye Sun, Kim Jung Hyun, Bae Jong Ok, Kim Tae Woo, Jo Yun Hee, Seol In Ah","Historical,  Mystery,  Comedy,  Romance ","https://m.media-amazon.com/images/M/MV5BODc2MmI5ODAtOWI0Zi00ZGY4LTgxZjgtYzY0NWVhMDVmMWY2XkEyXkFqcGdeQXVyNDY5MjMyNTg@._V1_SY150_CR2,0,101,150_.jpg"
10,Mother,2018,1 hr. 3 min.,"Lee Bo Young, Heo Yool, Lee Hye Young, Go Sung Hee, Lee Jae Yoon, Go Bo Gyeol","Thriller,  Mystery,  Psychological,  Melodrama ","https://m.media-amazon.com/images/M/MV5BMzc5ODExODE0MV5BMl5BanBnXkFtZTgwNDkzNDUxMzI@._V1_SY150_CR0,0,101,150_.jpg"
11,Signal,2016,1 hr. 15 min.,"Lee Je Hoon, Kim Hye Soo, Jo Jin Woong, Kim Won Hae, Lee Yoo Joon, Jang Hyun Sung","Thriller,  Mystery,  Sci-Fi ","https://m.media-amazon.com/images/M/MV5BMmE2NzBjOTQtODcxYi00NzFhLWJhOTktYWUwZDQzNjI0NDA0XkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_SY150_CR1,0,101,150_.jpg"
12,Navillera,2021,1 hr. 5 min.,"Park In Hwan, Song Kang, Na Moon Hee, Hong Seung Hee, Kim Tae Hoon, Yoon  Ji Hye","Friendship,  Life,  Drama,  Family ","https://m.media-amazon.com/images/M/MV5BNmU1OTYwN2UtNjFlZi00MThlLWFlYWItNGFkYjk2NGZiNjc1XkEyXkFqcGdeQXVyNDYzNDg2MTM@._V1_SY150_CR2,0,101,150_.jpg"
