dra_id,dra_title,dra_year,dra_time,drama_url
1,Move to Heaven,2021,52 min.,"https://m.media-amazon.com/images/M/MV5BYjNhMDM4YWYtYWE1MS00NTQzLWE4OTctNWU5ZjA5OWYxZWRjXkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_SY150_CR0,0,101,150_.jpg"
2,Hospital Playlist,2020,1 hr. 30 min.,"https://m.media-amazon.com/images/M/MV5BN2I0OTAwNWYtODk2NC00MjRkLWJkZDAtMmJmYmZjNWRiYmZhXkEyXkFqcGdeQXVyNDY5MjMyNTg@._V1_SY150_CR2,0,101,150_.jpg"
3,Flower of Evil,2020,1 hr. 10 min.,"https://m.media-amazon.com/images/M/MV5BODNmNzhlYzItYjJjMC00YTUyLWJhMTQtZWRmY2JhM2RiNTljXkEyXkFqcGdeQXVyMTAwMzM3NDI3._V1_SY150_CR2,0,101,150_.jpg"
4,Hospital Playlist 2,2021,1 hr. 40 min.,"https://m.media-amazon.com/images/M/MV5BN2I0OTAwNWYtODk2NC00MjRkLWJkZDAtMmJmYmZjNWRiYmZhXkEyXkFqcGdeQXVyNDY5MjMyNTg@._V1_SY150_CR2,0,101,150_.jpg"
5,My Mister,2018,1 hr. 17 min.,"https://m.media-amazon.com/images/M/MV5BYTc2ZWRkYTQtZmQyYS00ZTM3LWFiY2YtOWE1MjhlNTlhNzkwXkEyXkFqcGdeQXVyMjUxMTY3ODM@._V1_SY150_CR1,0,101,150_.jpg"
6,Prison Playbook,2017,1 hr. 32 min.,"https://m.media-amazon.com/images/M/MV5BMTQzMzYwNzEtY2U1Zi00MTA1LWJhZTctZjE2NjMzYjlmNmQwXkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_SY150_CR2,0,101,150_.jpg"
7,Reply 1988,2015,1 hr. 40 min.,"https://m.media-amazon.com/images/M/MV5BNDYwODdiOTItZTExZC00ZDZjLTkyODMtMWYxODVlMjQ0YjQxXkEyXkFqcGdeQXVyNjExNTE4MzU@._V1_SY150_CR2,0,101,150_.jpg"
8,It's Okay to Not Be Okay,2020,1 hr. 15 min.,"https://m.media-amazon.com/images/M/MV5BYTk0Nzk5ZWYtYTNlZi00YjBjLWJhYjctMWMwMmYyMDA5ZjJmXkEyXkFqcGdeQXVyNDY5MjMyNTg@._V1_SY150_CR2,0,101,150_.jpg"
9,Mr. Queen,2020,1 hr. 20 min.,"https://m.media-amazon.com/images/M/MV5BODc2MmI5ODAtOWI0Zi00ZGY4LTgxZjgtYzY0NWVhMDVmMWY2XkEyXkFqcGdeQXVyNDY5MjMyNTg@._V1_SY150_CR2,0,101,150_.jpg"
10,Mother,2018,1 hr. 3 min.,"https://m.media-amazon.com/images/M/MV5BMTQzMTg0NDA1M15BMl5BanBnXkFtZTgwODUzMTE0MjE@._V1_QL75_UY148_CR2,0,100,148_.jpg"
11,Signal,2016,1 hr. 15 min.,"https://m.media-amazon.com/images/M/MV5BMmE2NzBjOTQtODcxYi00NzFhLWJhOTktYWUwZDQzNjI0NDA0XkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_SY150_CR1,0,101,150_.jpg"
12,Navillera,2021,1 hr. 5 min.,"https://m.media-amazon.com/images/M/MV5BNmU1OTYwN2UtNjFlZi00MThlLWFlYWItNGFkYjk2NGZiNjc1XkEyXkFqcGdeQXVyNDYzNDg2MTM@._V1_SY150_CR2,0,101,150_.jpg"
13,Happiness,2021,1 hr. 5 min.,"https://m.media-amazon.com/images/M/MV5BNmE5ZGY0NjctYjc4MC00ODc5LThiYzMtOWQ2NzI0MjJkY2I5XkEyXkFqcGdeQXVyNDY5MjMyNTg@._V1_QL75_UY148_CR2,0,100,148_.jpg"
14,Vincenzo,2021,1 hr. 25 min.,"https://m.media-amazon.com/images/M/MV5BYWIwYTg2Y2YtYzEwNy00Y2Y0LWFkZjktNjBlMWZhNDY2NGE0XkEyXkFqcGdeQXVyNDY5MjMyNTg@._V1_SY150_CR2,0,101,150_.jpg"
15,Crash Landing on You,2019,1 hr. 25 min.,"https://m.media-amazon.com/images/M/MV5BMzRiZWUyN2YtNDI4YS00NTg2LTg0OTgtMGI2ZjU4ODQ4Yjk3XkEyXkFqcGdeQXVyNTI5NjIyMw@@._V1_SY150_CR2,0,101,150_.jpg"
16,SKY Castle,2018,1 hr. 15 min.,"https://m.media-amazon.com/images/M/MV5BNDFhZmY2NTgtMzljYy00MTlhLTgyMjItNTEwZWJkYThhYzkyXkEyXkFqcGdeQXVyNTgyNTA4MjM@._V1_SX101_CR0,0,101,150_.jpg"
17,Kingdom,2020,45 min.,"https://m.media-amazon.com/images/M/MV5BMjE1MzYzNjk3OF5BMl5BanBnXkFtZTgwMzk0MzYwNzE@._V1_SX101_CR0,0,101,150_.jpg"
18,Mr. Sunshine,2018,1 hr. 20 min.,"https://m.media-amazon.com/images/M/MV5BOWU3MjlmODAtZGU5NS00NmFjLTg1NmItNjU3MjQ5MmM1YWJjXkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_SX101_CR0,0,101,150_.jpg"
19,Healer,2014,60 min.,"https://m.media-amazon.com/images/M/MV5BZGE3NGI4ZDQtNzJjOC00Y2ZjLTgxNGItNzhmZjU4YWM0ZmI4XkEyXkFqcGdeQXVyNjUyNzU5NzA@._V1_SY150_CR2,0,101,150_.jpg"
20,Stranger,2017,1 hr. 10 min.,"https://m.media-amazon.com/images/M/MV5BMDZkYmVhNjMtNWU4MC00MDQxLWE3MjYtZGMzZWI1ZjhlOWJmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SY150_CR9,0,101,150_.jpg"
21,Goblin,2016,1 hr. 22 min.,"https://m.media-amazon.com/images/M/MV5BN2U2OWQ5YTUtZTRlYS00M2I2LTk3MzEtNTQ0OTNiNGY3ZTc3XkEyXkFqcGdeQXVyMzgxODM4NjM@._V1_SX101_CR0,0,101,150_.jpg"
22,Hometown Cha-Cha-Cha,2021,1 hr. 20 min.,"https://m.media-amazon.com/images/M/MV5BM2U3N2E5N2QtZDM1OC00N2QxLThjOTgtZmQ0OWRiYTUwZTAyXkEyXkFqcGdeQXVyNDY5MjMyNTg@._V1_SY150_CR2,0,101,150_.jpg"
23,The Uncanny Counter,2020,1 hr. 10 min.,"https://m.media-amazon.com/images/M/MV5BOTk5NmIxNTgtNWRjYS00OWQ4LTlhOTctOGU0NzlkODQ3Zjg2XkEyXkFqcGdeQXVyNDY5MjMyNTg@._V1_SY150_CR2,0,101,150_.jpg"
24,D.P.,2021,50 min.,"https://m.media-amazon.com/images/M/MV5BNDc3MDM4YjktOGE4NS00OGU4LWEwNWItY2RjMGE4N2YzOGVmXkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_SY150_CR0,0,101,150_.jpg"
25,Kingdom,2019,51 min.,"https://m.media-amazon.com/images/M/MV5BMjE1MzYzNjk3OF5BMl5BanBnXkFtZTgwMzk0MzYwNzE@._V1_SX101_CR0,0,101,150_.jpg"
