act_id,Act_Name,Date_Birth,BPlace,Img,WikiLink
0,Lee Je Hoon,1984,"Jongno-gu, Seoul, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/a/a9/181103_%EC%9D%B4%EC%A0%9C%ED%9B%88_%EA%B0%80%EC%82%B0_%EB%A7%88%EB%A6%AC%EC%98%A4_%EC%95%84%EC%9A%B8%EB%A0%9B_%ED%8C%AC%EC%8B%B8%EC%9D%B8%ED%9A%8C_03.jpg/220px-181103_%EC%9D%B4%EC%A0%9C%ED%9B%88_%EA%B0%80%EC%82%B0_%EB%A7%88%EB%A6%AC%EC%98%A4_%EC%95%84%EC%9A%B8%EB%A0%9B_%ED%8C%AC%EC%8B%B8%EC%9D%B8%ED%9A%8C_03.jpg,https://en.wikipedia.org/wiki/Lee_Je-hoon
1, Tang Jun Sang,2003,"Seoul, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/5/56/Tangjoonsang2020.png/220px-Tangjoonsang2020.png,https://en.wikipedia.org/wiki/Tang_Jun-sang
2, Hong Seung Hee,1997,"Hwaseong, Gyeonggi, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Hong_Seung-hee_210604.png/220px-Hong_Seung-hee_210604.png,https://en.wikipedia.org/wiki/Hong_Seung-hee
3, Jung Suk Yong,None,None,None,None
4, Jung Young Joo,None,None,None,None
5, Lee Moon Shik,None,None,None,None
6,Jo Jung Suk,1980,"Seoul, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/c/cb/181119_%EC%A1%B0%EC%A0%95%EC%84%9D.png/230px-181119_%EC%A1%B0%EC%A0%95%EC%84%9D.png,https://en.wikipedia.org/wiki/Jo_Jung-suk
7, Yoo Yeon Seok,1984,"Seoul, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Yoo_Yeon-seok_-_Bean_Pole_catalogue_2015_Spring-Summer_02_%28cropped%29.jpg/250px-Yoo_Yeon-seok_-_Bean_Pole_catalogue_2015_Spring-Summer_02_%28cropped%29.jpg,https://en.wikipedia.org/wiki/Yoo_Yeon-seok
8, Jung Kyung Ho,1981,South Korea,//upload.wikimedia.org/wikipedia/en/thumb/5/5f/Disambig_gray.svg/30px-Disambig_gray.svg.png,https://en.wikipedia.org/wiki/Jung_Kyung-ho
9, Kim Dae Myung,1982,"Busan, South Korea[1]",//upload.wikimedia.org/wikipedia/commons/thumb/f/f9/%EA%B9%80%EB%8C%80%EB%AA%85_Kim_Dae_Myung_1m4s_pandora.png/220px-%EA%B9%80%EB%8C%80%EB%AA%85_Kim_Dae_Myung_1m4s_pandora.png,https://en.wikipedia.org/wiki/Kim_Dae-myung
10, Jeon Mi Do,1986,South Korea,//upload.wikimedia.org/wikipedia/commons/thumb/4/40/Jeon_Mi-do_in_2020.png/220px-Jeon_Mi-do_in_2020.png,https://en.wikipedia.org/wiki/Jeon_Mi-do
11, Shin Hyun Bin,1982,"Busan, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Shin_Hyun-been_2022.png/250px-Shin_Hyun-been_2022.png,https://en.wikipedia.org/wiki/Shin_Hyun-bin
12,Lee Joon Gi,1986,"Daegu, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/7/74/%E6%9D%8E%E6%BA%96%E5%9F%BA.jpg/220px-%E6%9D%8E%E6%BA%96%E5%9F%BA.jpg,https://en.wikipedia.org/wiki/Lee_Joon-gi
13, Moon Chae Won,1983,"Incheon, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/9/96/Moon_chaewon_2017.png/220px-Moon_chaewon_2017.png,https://en.wikipedia.org/wiki/Moon_Chae-won
14, Jang Hee Jin,1983,South Korea,//upload.wikimedia.org/wikipedia/en/thumb/b/b4/Ambox_important.svg/40px-Ambox_important.svg.png,https://en.wikipedia.org/wiki/Jang_Hee-jin
