user_id,dra_id,review
31,9,Good
16,45,Good
38,72,Medium
7,70,Medium
7,95,Bad 
13,74,Medium
5,29,Medium
9,81,Bad 
6,3,Medium
23,20,Good
38,69,Bad 
30,9,Medium
4,69,Medium
4,59,Good
28,15,Bad 
14,35,Good
21,81,Bad 
29,61,Bad 
2,91,Good
18,34,Medium
36,47,Bad 
15,22,Good
16,99,Bad 
25,32,Good
25,8,Bad 
9,57,Bad 
5,18,Medium
6,91,Good
12,2,Medium
11,34,Bad 
19,59,Bad 
13,9,Bad 
10,1,Medium
15,70,Bad 
18,33,Good
29,71,Medium
12,3,Bad 
32,38,Bad 
13,43,Medium
17,89,Good
11,18,Good
21,35,Good
16,74,Medium
10,91,Bad 
24,98,Good
9,92,Good
35,86,Medium
22,31,Medium
37,64,Bad 
28,9,Good
4,77,Bad 
26,33,Good
1,36,Medium
18,51,Medium
28,5,Good
15,5,Good
7,79,Bad 
16,55,Bad 
36,18,Bad 
1,26,Good
14,78,Medium
38,27,Bad 
8,37,Good
11,71,Good
15,94,Bad 
8,33,Medium
0,61,Medium
15,28,Good
31,69,Medium
9,96,Bad 
12,68,Bad 
10,12,Good
38,53,Bad 
28,51,Bad 
16,52,Medium
10,53,Bad 
25,64,Medium
25,23,Bad 
11,48,Bad 
18,25,Good
15,49,Medium
14,24,Bad 
4,15,Good
20,41,Medium
19,90,Bad 
31,64,Bad 
15,8,Medium
7,3,Medium
19,90,Good
38,58,Medium
9,45,Good
26,67,Bad 
21,13,Bad 
12,46,Bad 
34,57,Medium
9,75,Bad 
28,61,Medium
37,7,Good
19,41,Medium
30,7,Good
8,53,Good
32,51,Good
32,64,Medium
1,45,Good
13,32,Bad 
25,13,Good
28,94,Medium
15,77,Bad 
1,83,Bad 
34,11,Good
15,16,Good
16,41,Good
35,80,Bad 
26,77,Bad 
3,41,Medium
0,56,Bad 
14,8,Medium
27,97,Medium
28,90,Bad 
9,49,Medium
38,70,Bad 
19,52,Good
9,85,Good
0,10,Good
20,23,Medium
0,88,Good
5,32,Medium
5,49,Good
9,57,Medium
28,97,Good
26,35,Bad 
36,64,Bad 
31,16,Bad 
32,71,Good
14,39,Bad 
1,74,Good
32,88,Good
4,30,Medium
5,74,Medium
5,72,Good
32,34,Good
26,71,Medium
33,57,Good
6,89,Good
39,23,Bad 
26,84,Bad 
25,44,Good
15,29,Medium
39,2,Medium
22,29,Medium
27,93,Medium
14,14,Good
0,63,Bad 
30,48,Good
28,39,Medium
1,71,Bad 
3,6,Good
31,28,Good
6,22,Bad 
39,16,Medium
33,30,Bad 
23,45,Good
14,57,Good
6,6,Good
39,64,Bad 
26,47,Medium
0,31,Bad 
9,49,Bad 
29,62,Bad 
5,75,Bad 
15,84,Bad 
18,37,Medium
11,35,Good
25,65,Good
33,82,Bad 
26,98,Good
4,54,Good
12,23,Good
36,33,Bad 
5,77,Medium
22,44,Good
38,76,Medium
10,65,Bad 
28,48,Medium
36,60,Medium
27,57,Good
31,4,Medium
27,84,Medium
37,63,Bad 
35,78,Bad 
24,75,Good
38,98,Good
13,54,Good
29,42,Bad 
36,89,Medium
4,35,Bad 
27,15,Good
30,53,Medium
23,79,Bad 
27,9,Good
12,97,Good
13,50,Bad 
19,82,Bad 
24,65,Good
29,63,Medium
15,45,Medium
31,20,Medium
6,43,Good
24,96,Medium
34,46,Medium
36,74,Medium
9,47,Medium
12,84,Medium
31,19,Medium
7,31,Bad 
25,10,Good
23,50,Bad 
33,59,Bad 
3,43,Good
10,72,Medium
17,47,Bad 
31,68,Good
9,60,Medium
12,23,Good
26,38,Good
23,47,Bad 
35,12,Bad 
0,64,Good
36,56,Medium
38,61,Bad 
1,94,Medium
34,61,Good
1,14,Good
8,84,Good
0,81,Good
13,51,Medium
4,45,Bad 
22,51,Good
7,23,Medium
20,83,Medium
35,75,Medium
5,76,Good
19,11,Bad 
35,41,Medium
39,52,Bad 
39,42,Good
27,43,Medium
36,10,Good
6,92,Good
30,6,Bad 
39,21,Good
13,99,Good
28,52,Medium
23,59,Medium
0,26,Good
3,5,Good
29,61,Good
17,30,Good
20,21,Good
19,36,Medium
16,62,Bad 
25,87,Bad 
0,81,Medium
28,30,Medium
12,57,Bad 
39,72,Bad 
1,16,Medium
34,65,Good
23,96,Good
5,11,Bad 
17,9,Bad 
4,90,Bad 
33,36,Medium
14,31,Good
6,45,Good
24,9,Good
0,36,Good
1,18,Bad 
24,59,Medium
31,25,Good
4,82,Medium
11,92,Bad 
21,36,Bad 
24,1,Medium
7,86,Bad 
21,29,Bad 
31,60,Medium
10,3,Good
11,65,Good
23,38,Medium
37,55,Good
19,9,Good
26,19,Good
26,51,Bad 
11,93,Good
16,70,Good
9,0,Good
13,85,Bad 
38,14,Medium
